epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,134.421,0.96589,2.54344,1.51686,0.55629,0.66667,0.60564,0.38178,0.55132,3.05193,0.93595,0.00198817,0.000662722,0.00198817,0.000662722,0.00198817,0.000662722,0.00198817,0.000662722
2,260.397,0.45658,1.39935,1.13352,0.77381,0.84635,0.81388,0.68579,0.45966,2.12827,0.82519,0.0039092,0.00130307,0.0039092,0.00130307,0.0039092,0.00130307,0.0039092,0.00130307
3,381.841,0.36975,1.10078,1.05993,0.78502,0.875,0.86413,0.74118,0.42663,1.46999,0.76555,0.00575103,0.00191701,0.00575103,0.00191701,0.00575103,0.00191701,0.00575103,0.00191701
4,501.549,0.33002,0.90235,1.02205,0.79057,0.89583,0.86115,0.76873,0.37644,1.08108,0.73445,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,617.316,0.31717,0.78222,1.01817,0.82568,0.91279,0.89378,0.84232,0.32826,0.93597,0.65199,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,732.01,0.28667,0.7071,0.98784,0.88404,0.91323,0.92193,0.86542,0.32153,0.75529,0.65762,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,849.279,0.2786,0.64697,0.98637,0.84444,0.91886,0.89945,0.82679,0.40031,0.79377,0.75235,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,961.007,0.26836,0.59784,0.97804,0.8728,0.94531,0.91269,0.88772,0.30294,0.73792,0.62581,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,1074.08,0.25385,0.56603,0.96738,0.85619,0.93029,0.92143,0.871,0.31189,0.71354,0.6346,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,1186.41,0.24319,0.53004,0.95965,0.85723,0.92188,0.91079,0.87623,0.28918,0.713,0.61291,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
